DATETIME,BNB,BTC,ETH,USDC,USDT
20221211-065001,290.27341313,17178.67713473,1275.10442996,0.99997389,1.00007161
20221211-065501,290.30679522,17172.47455218,1274.7990982,1.00002473,1.00007202
20221211-070001,290.30679522,17172.47455218,1274.7990982,1.00002473,1.00007202
20221211-070501,290.30679522,17172.47455218,1274.7990982,1.00002473,1.00007202
20221211-071001,290.32847189,17178.79630457,1274.85657063,1.00005532,1.00006377
20221211-071501,290.17559483,17173.34920891,1273.98814815,1.00007246,1.00007683
20221211-072001,290.17559483,17173.34920891,1273.98814815,1.00007246,1.00007683
20221211-072501,290.17559483,17173.34920891,1273.98814815,1.00007246,1.00007683
20221211-073001,289.98016098,17165.4963683,1273.76224522,1.00005649,1.0000735
20221211-073501,290.09736882,17175.17466769,1274.58755771,1.00005866,1.00006736
20221211-074001,290.09736882,17175.17466769,1274.58755771,1.00005866,1.00006736
20221211-074502,290.20960534,17179.60929286,1275.32488233,0.99998846,1.00005486
20221211-075001,290.20960534,17179.60929286,1275.32488233,0.99998846,1.00005486
20221211-075501,290.20960534,17179.60929286,1275.32488233,0.99998846,1.00005486
20221211-080001,290.36447841,17182.72530188,1275.70146799,1.00006026,1.00007552
20221211-080501,290.36447841,17182.72530188,1275.70146799,1.00006026,1.00007552
20221211-081001,290.38979172,17188.6498715,1276.04901079,1.00010601,1.00005656
20221211-081501,290.33434392,17183.1920008,1276.20772489,1.00000899,1.00007931
20221211-082001,290.33434392,17183.1920008,1276.20772489,1.00000899,1.00007931
20221211-082501,290.33434392,17183.1920008,1276.20772489,1.00000899,1.00007931
20221211-083001,290.27965533,17175.63336313,1275.68873666,1.00000981,1.00006925
20221211-083501,290.32144668,17180.17318639,1275.94747122,1.0000616,1.00005661
20221211-084001,290.32144668,17180.17318639,1275.94747122,1.0000616,1.00005661
20221211-084501,290.32144668,17180.17318639,1275.94747122,1.0000616,1.00005661
20221211-085001,290.1768574,17175.84783248,1275.31071597,0.99998107,1.00006528
20221211-085501,290.1768574,17175.84783248,1275.31071597,0.99998107,1.00006528
20221211-090001,289.99400129,17170.75327071,1274.52359249,0.99998804,1.0000727
20221211-090501,289.99400129,17170.75327071,1274.52359249,0.99998804,1.0000727
20221211-091001,290.20794797,17178.16381227,1274.80581163,1.0000417,1.00007716
20221211-091501,290.26057893,17176.53059375,1274.37353306,1.00000847,1.00008105
20221211-092001,290.26057893,17176.53059375,1274.37353306,1.00000847,1.00008105
20221211-092501,290.11130348,17171.82981126,1274.11419968,0.99995468,1.00006939
20221211-093001,290.11130348,17171.82981126,1274.11419968,0.99995468,1.00006939
20221211-093501,290.11130348,17171.82981126,1274.11419968,0.99995468,1.00006939
20221211-094001,289.90646805,17169.19235767,1273.80885264,1.00000685,1.00007925
20221211-094501,289.86100692,17167.80782768,1273.10402835,1.00002976,1.00007794
20221211-095001,289.86100692,17167.80782768,1273.10402835,1.00002976,1.00007794
20221211-095501,289.83451234,17173.10514797,1273.0324641,1.00007256,1.00006313
20221211-100001,289.83451234,17173.10514797,1273.0324641,1.00007256,1.00006313
20221211-100501,289.96577772,17169.77466652,1272.52207471,1.00002152,1.00005785
20221211-101001,289.96577772,17169.77466652,1272.52207471,1.00002152,1.00005785
20221211-101501,290.00017777,17170.4954555,1272.60408396,1.00003796,1.00007273
20221211-102001,290.00017777,17170.4954555,1272.60408396,1.00003796,1.00007273
20221211-102501,290.00017777,17170.4954555,1272.60408396,1.00003796,1.00007273
20221211-103001,290.01634986,17166.21830078,1272.29557612,1.00002682,1.00007185
20221211-103501,289.90842664,17164.33541337,1272.39723752,1.00012459,1.000088
20221211-104001,289.90842664,17164.33541337,1272.39723752,1.00012459,1.000088
20221211-104501,289.90842664,17164.33541337,1272.39723752,1.00012459,1.000088
20221211-105001,289.91337347,17164.16651699,1272.84099016,1.00010859,1.00006658
20221211-105501,289.91337347,17164.16651699,1272.84099016,1.00010859,1.00006658
20221211-110001,290.04364792,17172.53064405,1273.18845655,1.00012094,1.00006855
20221211-110501,290.04364792,17172.53064405,1273.18845655,1.00012094,1.00006855
20221211-111001,290.01869568,17170.124549,1272.99721185,1.00002248,1.00008224
20221211-111501,289.88803476,17156.82035077,1272.27548407,1.0000649,1.0000637
20221211-112001,289.88803476,17156.82035077,1272.27548407,1.0000649,1.0000637
20221211-112501,290.02823839,17163.34922508,1272.53648345,1.00002531,1.00006436
20221211-113001,290.02823839,17163.34922508,1272.53648345,1.00002531,1.00006436
20221211-113501,289.95928336,17159.00456241,1272.22081282,1.00003707,1.00007313
20221211-114001,289.95928336,17159.00456241,1272.22081282,1.00003707,1.00007313
20221211-114501,289.95928336,17159.00456241,1272.22081282,1.00003707,1.00007313
20221211-115001,290.07067804,17160.94789729,1272.29899145,0.99999147,1.00006945
20221211-115501,290.10753573,17166.2204128,1272.59743658,1.00016031,1.00007449
20221211-120001,290.10753573,17166.2204128,1272.59743658,1.00016031,1.00007449
20221211-120501,290.10753573,17166.2204128,1272.59743658,1.00016031,1.00007449
20221211-121001,290.24068872,17170.12261667,1273.46899241,1.00014788,1.00008679
20221211-121502,290.18221731,17163.54678608,1273.06388631,1.00003151,1.00006398
